tau_vals,runtimes
0.1,4.906626134999897
0.6,0.6694533840000076
1.1,0.472590357999934
1.6,0.402417941000067
2.1,0.37358596700005364
2.6,0.35424955000007685
3.1,0.33840278299999227
3.6,0.3420901540000614
4.1,0.3252584059998753
4.6,0.32420086100000844
5.1,0.32713149500000327
5.6,0.3840532350000103
6.1,0.36096833700003117
6.6,0.3250309310001285
7.1,0.33178435900003933
7.6,0.3107391230000758
8.1,0.3107472939998388
8.6,0.31013135900002453
9.1,0.3095330239998475
9.6,0.3116838039998129
10.1,0.31509767300008207
